iter	Passed	Remaining
0	57	56972
1	57	28607
2	57	19138
3	57	14410
4	58	11568
5	58	9668
6	58	8315
7	58	7306
8	59	6516
9	59	5882
10	59	5366
11	59	4937
12	60	4569
13	60	4256
14	60	3985
15	60	3747
16	61	3539
17	61	3351
18	61	3184
19	61	3036
20	62	2899
21	62	2776
22	62	2664
23	62	2560
24	63	2464
25	63	2377
26	63	2294
27	63	2218
28	64	2147
29	64	2081
30	64	2018
31	64	1962
32	65	1907
33	65	1856
34	65	1809
35	65	1762
36	66	1719
37	66	1677
38	66	1638
39	66	1601
40	66	1566
41	67	1532
42	67	1500
43	67	1469
44	67	1440
45	68	1412
46	68	1385
47	68	1362
48	68	1337
49	69	1313
50	69	1291
51	69	1269
52	69	1248
53	70	1228
54	70	1208
55	70	1189
56	70	1171
57	71	1155
58	71	1138
59	71	1122
60	71	1105
61	72	1089
62	72	1075
63	72	1060
64	72	1047
65	73	1033
66	73	1020
67	73	1005
68	73	992
69	73	979
70	73	968
71	74	956
72	74	945
73	74	934
74	74	923
75	75	913
76	75	903
77	75	893
78	75	884
79	76	874
80	76	865
81	76	856
82	76	847
83	76	839
84	77	829
85	77	821
86	77	812
87	77	804
88	77	797
89	78	789
90	78	782
91	78	774
92	78	767
93	78	760
94	79	753
95	79	746
96	79	740
97	80	740
98	80	734
99	80	727
100	81	722
101	81	715
102	81	710
103	81	704
104	81	698
105	82	693
106	82	688
107	82	682
108	82	678
109	83	673
110	83	667
111	83	662
112	83	657
113	84	652
114	84	648
115	84	642
116	84	638
117	84	634
118	85	629
119	85	624
120	85	620
121	85	616
122	85	611
123	85	607
124	86	603
125	86	599
126	86	595
127	86	590
128	86	587
129	87	583
130	87	579
131	87	576
132	87	572
133	88	569
134	88	566
135	88	562
136	88	559
137	88	555
138	89	552
139	89	548
140	89	545
141	89	542
142	90	539
143	90	536
144	90	533
145	90	530
146	90	527
147	91	524
148	91	521
149	91	518
150	91	515
151	91	512
152	92	510
153	93	512
154	93	509
155	93	506
156	93	504
157	94	501
158	94	499
159	94	496
160	94	494
161	95	492
162	95	489
