iter	Passed	Remaining
0	58	58343
1	58	29270
2	58	19583
3	59	14727
4	59	11808
5	60	10003
6	60	8594
7	60	7547
8	61	6724
9	61	6067
10	61	5527
11	61	5078
12	61	4699
13	62	4373
14	62	4090
15	62	3842
16	62	3624
17	62	3429
18	63	3256
19	63	3102
20	63	2962
21	63	2836
22	64	2720
23	64	2613
24	64	2513
25	64	2422
26	64	2337
27	65	2258
28	65	2184
29	65	2117
30	65	2052
31	65	1993
32	66	1936
33	66	1883
34	66	1833
35	66	1785
36	66	1740
37	67	1697
38	67	1657
39	67	1619
40	67	1582
41	67	1546
42	68	1513
43	68	1482
44	68	1452
45	68	1424
46	68	1396
47	69	1371
48	69	1347
49	69	1323
50	69	1300
51	70	1278
52	70	1256
53	70	1235
54	70	1215
55	71	1198
56	71	1181
57	71	1164
58	71	1147
59	72	1131
60	72	1114
61	72	1099
62	72	1084
63	73	1069
64	73	1055
65	73	1042
66	73	1029
67	74	1015
68	74	1002
69	74	990
70	74	978
71	75	967
72	75	955
73	75	944
74	75	933
75	76	924
76	76	914
77	76	904
78	76	894
79	76	884
80	77	875
81	77	865
82	77	855
83	77	847
84	77	838
85	78	830
86	78	821
87	78	813
88	78	806
89	79	799
90	79	792
91	79	785
92	79	777
93	79	770
94	80	764
95	80	757
96	80	750
97	80	744
98	81	737
99	81	732
100	81	726
101	81	720
102	81	714
103	82	708
104	82	702
105	82	696
106	82	691
107	83	686
108	83	681
109	83	676
110	83	671
111	84	666
112	84	661
113	84	656
114	84	652
115	84	647
116	85	643
117	85	638
118	85	634
119	85	630
120	86	625
121	86	621
122	86	617
123	86	613
124	87	609
125	87	605
126	87	602
127	87	598
128	88	595
129	88	592
130	88	589
131	89	585
132	89	581
133	89	578
134	89	575
135	90	572
136	90	568
137	90	565
138	90	562
139	90	558
140	91	555
141	91	551
142	91	548
143	91	545
144	92	546
145	93	544
146	93	541
147	93	537
148	93	535
149	93	532
150	94	529
151	94	526
152	94	524
153	95	522
154	95	519
155	95	516
156	95	514
157	95	511
158	96	508
159	96	506
160	96	503
161	96	500
162	97	498
163	97	496
164	97	494
165	97	491
166	98	489
167	98	487
168	98	484
169	98	482
170	99	481
171	99	479
172	99	477
173	100	475
174	100	473
175	100	471
176	100	469
177	101	467
178	101	465
179	101	463
180	101	461
181	102	458
182	102	456
183	102	454
184	102	452
185	102	450
186	103	448
187	103	446
188	103	444
189	103	442
190	103	440
191	104	438
192	104	436
193	104	434
194	104	432
195	104	430
196	105	428
197	105	426
198	105	424
199	105	422
200	105	420
201	106	418
202	106	416
203	106	415
204	106	413
205	106	411
206	106	409
207	107	407
208	107	406
209	107	404
210	107	402
211	107	400
212	108	399
213	108	397
214	108	395
215	108	394
216	108	392
217	109	391
218	109	389
219	109	388
220	109	387
221	110	386
222	110	384
223	110	383
224	111	382
225	111	380
226	111	379
227	111	378
228	111	377
229	112	375
230	112	374
231	112	373
232	113	372
233	113	370
234	113	369
235	113	368
236	114	367
237	114	365
238	114	364
239	114	363
240	115	362
241	115	361
242	115	360
243	115	359
244	116	358
245	116	356
246	116	355
247	116	354
248	117	353
249	117	352
250	117	351
251	117	350
252	118	348
253	118	347
254	118	346
255	118	345
256	119	344
257	119	343
258	119	342
259	119	341
260	120	340
261	120	339
262	120	337
263	120	336
264	121	335
265	121	334
266	121	333
267	121	332
268	121	331
269	122	330
270	123	331
271	123	329
272	123	328
273	123	327
274	124	326
275	124	325
276	124	324
277	124	323
278	124	322
279	125	321
280	125	320
281	125	319
282	125	319
283	126	318
284	126	317
285	126	316
286	126	315
287	127	314
288	127	313
289	127	312
290	127	311
291	128	310
292	128	309
293	128	308
294	128	308
295	129	307
296	129	306
297	129	305
298	129	304
299	130	303
300	130	302
301	130	301
302	130	300
303	131	300
304	131	299
305	131	298
306	131	297
307	132	296
308	132	296
309	132	295
310	133	294
311	133	293
312	133	293
313	133	292
314	134	291
315	134	290
316	134	290
317	134	289
318	135	288
319	135	287
320	135	286
321	135	286
322	136	285
323	136	284
324	136	283
325	136	282
326	136	281
327	137	281
328	137	280
329	137	279
330	138	278
331	138	278
332	138	277
333	138	276
334	139	275
335	139	275
336	139	274
337	139	273
338	140	273
339	140	272
340	140	271
341	140	270
342	141	270
343	141	269
344	141	268
345	141	267
346	142	267
347	142	266
348	142	265
349	142	264
350	142	264
351	143	263
352	143	263
353	143	262
354	144	261
355	144	261
356	144	260
357	144	259
358	145	259
359	146	259
360	146	259
361	146	258
362	146	257
363	147	257
364	147	256
365	147	255
366	147	255
367	148	254
368	148	253
369	148	253
370	148	252
371	149	251
372	149	251
373	149	250
374	149	249
375	150	249
376	150	248
377	150	248
378	151	247
379	151	246
380	151	246
381	151	245
382	152	245
383	152	244
384	152	243
385	152	243
386	153	242
387	153	241
388	153	241
389	153	240
390	154	239
391	154	239
392	154	238
393	154	237
394	154	237
395	155	236
396	155	235
397	155	235
398	155	234
399	156	234
400	156	233
401	156	232
402	156	232
403	157	231
404	157	230
405	157	230
406	157	229
407	157	229
408	158	228
409	158	227
410	158	227
411	158	226
412	158	225
413	159	225
414	159	224
415	159	224
416	159	223
417	160	223
418	160	222
419	160	221
420	161	221
421	161	220
422	161	220
423	161	219
424	161	219
425	162	218
426	162	217
427	162	217
428	162	216
429	163	216
430	163	215
431	163	215
432	164	214
433	164	214
434	164	213
435	164	213
436	165	212
437	165	212
438	165	211
439	165	211
440	166	210
441	166	210
442	166	209
443	166	209
444	167	208
445	167	207
446	167	207
447	167	206
448	168	206
449	168	205
450	168	205
451	168	204
452	169	204
453	169	203
454	169	203
455	169	202
456	170	202
457	170	201
458	170	201
459	171	200
460	171	200
461	171	199
462	171	199
463	172	198
464	172	198
465	172	197
466	172	197
467	173	196
468	173	196
469	173	195
470	173	195
471	174	194
472	174	194
473	174	193
474	174	193
475	175	192
476	175	192
477	175	191
478	176	191
479	176	191
480	176	190
481	176	190
482	177	189
483	177	189
484	177	188
485	177	188
486	178	187
487	178	187
488	178	186
489	179	186
490	179	186
491	179	185
492	180	185
493	180	184
494	180	184
495	180	183
496	180	183
497	181	182
498	181	182
499	181	181
500	182	181
501	182	181
502	182	180
503	183	180
504	183	179
505	183	179
506	183	178
507	184	178
508	184	178
509	184	177
510	185	177
511	185	176
512	185	176
513	186	175
514	186	175
515	186	175
516	186	174
517	187	174
518	187	173
519	187	173
520	187	172
521	188	172
522	188	171
523	188	171
524	188	170
525	189	170
526	189	169
527	189	169
528	189	168
529	189	168
530	190	167
531	190	167
532	190	166
533	190	166
534	191	166
535	191	165
536	191	165
537	191	164
538	192	164
539	192	163
540	192	163
541	192	163
542	193	162
543	193	162
544	193	161
545	193	161
546	194	160
547	194	160
548	194	159
549	194	159
550	195	158
551	195	158
552	195	157
553	195	157
554	195	157
555	196	156
556	196	156
557	196	155
558	196	155
559	197	154
560	197	154
561	197	154
562	197	153
563	198	153
564	198	152
565	198	152
566	199	152
567	199	151
568	199	151
569	199	150
570	200	150
571	200	149
572	200	149
573	200	149
574	201	148
575	201	148
576	201	147
577	202	147
578	202	147
579	202	146
580	202	146
581	203	145
582	203	145
583	203	144
584	203	144
585	203	144
586	204	143
587	204	143
588	204	142
589	204	142
590	205	141
591	205	141
592	205	141
593	205	140
594	205	140
595	206	139
596	206	139
597	206	138
598	206	138
599	207	138
600	207	137
601	207	137
602	207	136
603	208	136
604	208	136
605	208	135
606	208	135
607	209	134
608	209	134
609	209	133
610	209	133
611	210	133
612	210	132
613	210	132
614	210	131
615	211	131
616	211	131
617	211	130
618	211	130
619	211	129
620	212	129
621	212	129
622	212	128
623	212	128
624	212	127
625	213	127
626	213	127
627	213	126
628	214	126
629	214	126
630	214	125
631	215	125
632	215	124
633	215	124
634	215	124
635	216	123
636	216	123
637	216	122
638	216	122
639	216	122
640	217	121
641	217	121
642	217	120
643	217	120
644	218	120
645	218	119
646	218	119
647	219	119
648	219	118
649	219	118
650	219	117
651	220	117
652	220	117
653	221	116
654	221	116
655	221	116
656	221	115
657	222	115
658	222	115
659	222	114
660	222	114
661	223	113
662	223	113
663	223	113
664	223	112
665	224	112
666	224	112
667	224	111
668	224	111
669	225	110
670	225	110
671	225	110
672	225	109
673	226	109
674	226	109
675	227	108
676	227	108
677	227	108
678	227	107
679	228	107
680	228	106
681	228	106
682	228	106
683	229	105
684	229	105
685	229	105
686	229	104
687	230	104
688	230	103
689	230	103
690	230	103
691	231	102
692	231	102
693	231	102
694	231	101
695	231	101
696	232	100
697	232	100
698	232	100
699	232	99
700	233	99
701	233	99
702	233	98
703	233	98
704	234	97
705	234	97
706	234	97
707	234	96
708	234	96
709	235	96
710	235	95
711	235	95
712	235	94
713	235	94
714	236	94
715	236	93
716	236	93
717	236	92
718	236	92
719	237	92
720	237	91
721	237	91
722	237	91
723	237	90
724	238	90
725	238	89
726	238	89
727	238	89
728	238	88
729	239	88
730	239	88
731	239	87
732	239	87
733	239	86
734	240	86
735	240	86
736	240	85
737	240	85
738	240	85
739	241	84
740	241	84
741	241	83
742	241	83
743	241	83
744	241	82
745	242	82
746	242	82
747	242	81
748	242	81
749	243	81
750	243	80
751	243	80
752	243	79
753	243	79
754	244	79
755	244	78
756	244	78
757	244	78
758	244	77
759	245	77
760	245	77
761	245	76
762	245	76
763	246	76
764	246	75
765	246	75
766	246	74
767	247	74
768	247	74
769	247	73
770	247	73
771	248	73
772	248	72
773	248	72
774	248	72
775	249	71
776	249	71
777	249	71
778	249	70
779	250	70
780	250	70
781	250	69
782	250	69
783	251	69
784	251	68
785	251	68
786	251	68
787	251	67
788	252	67
789	252	67
790	252	66
791	252	66
792	253	66
793	253	65
794	253	65
795	253	65
796	254	64
797	254	64
798	254	64
799	254	63
800	255	63
801	255	63
802	255	62
803	255	62
804	255	62
805	256	61
806	256	61
807	256	61
808	256	60
809	257	60
810	257	59
811	257	59
812	257	59
813	258	58
814	258	58
815	258	58
816	258	57
817	259	57
818	259	57
819	259	56
820	259	56
821	260	56
822	260	55
823	260	55
824	260	55
825	261	54
826	261	54
827	261	54
828	261	53
829	261	53
830	262	53
831	262	52
832	262	52
833	262	52
834	263	51
835	263	51
836	263	51
837	263	50
838	264	50
839	264	50
840	264	50
841	264	49
842	265	49
843	265	49
844	265	48
845	265	48
846	266	48
847	266	47
848	266	47
849	266	47
850	266	46
851	267	46
852	267	46
853	267	45
854	267	45
855	268	45
856	268	44
857	268	44
858	269	44
859	269	43
860	269	43
861	269	43
862	270	42
863	270	42
864	270	42
865	270	41
866	271	41
867	271	41
868	271	40
869	271	40
870	272	40
871	272	39
872	272	39
873	272	39
874	273	39
875	273	38
876	273	38
877	273	38
878	274	37
879	274	37
880	274	37
881	274	36
882	275	36
883	275	36
884	275	35
885	275	35
886	276	35
887	276	34
888	276	34
889	276	34
890	277	33
891	278	33
892	278	33
893	278	33
894	278	32
895	279	32
896	279	32
897	279	31
898	280	31
899	280	31
900	280	30
901	280	30
902	281	30
903	281	29
904	281	29
905	281	29
906	282	28
907	282	28
908	282	28
909	282	27
910	282	27
911	283	27
912	283	27
913	283	26
914	283	26
915	284	26
916	284	25
917	284	25
918	285	25
919	285	24
920	285	24
921	285	24
922	286	23
923	286	23
924	286	23
925	286	22
926	287	22
927	287	22
928	287	21
929	287	21
930	288	21
931	288	21
932	288	20
933	288	20
934	289	20
935	289	19
936	289	19
937	289	19
938	289	18
939	290	18
940	290	18
941	290	17
942	291	17
943	291	17
944	291	16
945	291	16
946	291	16
947	292	16
948	292	15
949	292	15
950	293	15
951	293	14
952	293	14
953	293	14
954	293	13
955	294	13
956	294	13
957	294	12
958	294	12
959	295	12
960	295	11
961	295	11
962	295	11
963	296	11
964	296	10
965	296	10
966	296	10
967	296	9
968	297	9
969	297	9
970	297	8
971	297	8
972	298	8
973	298	7
974	298	7
975	298	7
976	299	7
977	299	6
978	299	6
979	299	6
980	300	5
981	300	5
982	301	5
983	301	4
984	301	4
985	302	4
986	302	3
987	302	3
988	303	3
989	303	3
990	303	2
991	303	2
992	303	2
993	304	1
994	304	1
995	304	1
996	304	0
997	305	0
998	305	0
999	305	0
